,,,chemicalFormula,Band gap values Clean,,,,,Reliability,,,,,,properties,references,Crystallinity value,,Band gap units,Band gap conditions,Band gap method,Morphology value,Temperature derivative of band gap value,Temperature derivative of band gap units,Temperature derivative of band gap conditions,Temperature derivative of band gap method,Color value,Electroluminescence value,Photoluminescence value,Thermoluminescence value,Phase values,Cathodoluminescence value,Mechanical luminescence value,Lasing value
1384,1385,,Pb1Te1,0.32,,I,0.32,300,2,1428,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.32'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
1385,1386,,Pb1I2,2.32,,2,2.32,300,1,1429,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.32'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
1386,1387,,Pb1I2,2.41,,2,2.41,0,2,1430,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.41'}], 'units': 'eV', 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,,,,,,,,,,TRUE,,,,,
1387,1388,,Pb1I2,2.535,,2,2.535,.0 -9.95e-04,2,1431,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.535'}], 'units': 'eV', 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.000995'}], 'units': 'eV/K', 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,,,,-0.000995,eV/K,,,,,,,,,,
1388,1389,,Pb1I2,3.01,,2,3.01,0,2,1432,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.01'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}]",Absorption,,,,,,,,,,,,,
1389,1390,,Pb1I2,2.32,,2,2.32,300,2,1433,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.32'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Color', 'scalars': [{'value': 'Yellow'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}, {'name': 'Photoluminescence', 'scalars': [{'value': 'True'}], 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,Yellow,,TRUE,,,,,
1390,1391,,Pb1I2,2.36,,2,2.36,300,2,1434,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.36'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
1391,1392,,Bi2O3,2.6,,3,2,3OO.U,1,1435,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.6'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,Thin film,,,,,,,,,,,,
1392,1393,,Bi2O3,2.91,,3,2.91,300,1,1436,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.91'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,Thin film,,,,,,,,,,,,
1393,1394,,Bi2O3,3.1,,3,3.1,77.0 -l.lOe-03,2,1437,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '3.1'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0011'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Absorption,Thin film,-0.0011,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Absorption,,,,,,,,
1394,1395,,Bi2O3,2.15,,3,2.15,300,2,1438,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.15'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,Thin film,,,,,,,,,,,,
1395,1396,,Bi2O3,2.58,,3,2.58,300.0 -l.00e-03,2,1439,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.58'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.001'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,Thin film,-0.001,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,,,,,,,,
1396,1397,,Bi2O3,2.85,,3,2.85,300.0 -1.1Oe-03,2,1440,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.85'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0011'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,Thin film,-0.0011,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
1397,1398,,Bi2O3,2.86,,3,2.86,300,2,1441,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.86'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
1398,1399,,Bi2O3,2.07,,3,2.07,400.0 -l.lOe-03,2,1442,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.07'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0011'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}]",Thermal activation,Thin film,-0.0011,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '400'}], 'units': 'K'}]",Thermal activation,,,,,,,,
1399,1400,,Bi2O3,2.85,,3,2.85,300.0 -l.40e-03,2,1443,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.85'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0014'}], 'units': 'eV/K', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Photoconduction'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,Thin film,-0.0014,eV/K,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Photoconduction,,,,,,,,
1400,1401,,Bi1F3,,,3,,0,2,1444,,,,,"[{'name': 'Color', 'scalars': [{'value': 'Gray'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,,,,,,,,,Gray,,,,,,,
1401,1402,,Bi2S3,1.2,,3,1.2,300.0 -8.ooe-04,1,1445,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.2'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0008'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-0.0008,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
1402,1403,,Bi2S3,1.4,,3,1.4,77.0 -8.00e-04,2,1446,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.4'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0008'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Absorption,,-0.0008,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Absorption,,,,,,,,
1403,1404,,Bi2S3,1.3,,3,1.3,293,2,1447,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.3'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
1404,1405,,Bi2S3,0.72,,3,0.72,300,2,1448,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.72'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,Thin film,,,,,,,,,,,,
1405,1406,,Bi2S3,1.3,,3,1.3,300,2,1449,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '1.3'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
1406,1407,,Bi2Se3,0.21,,3,0.21,300.0 -1.00e-04,1,1450,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.21'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0001'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-0.0001,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
1407,1408,,Bi2Se3,0.4,,3,0.4,77.0 -2.00e-04,2,1451,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.4'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-0.0002'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Absorption,,-0.0002,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Absorption,,,,,,,,
1408,1409,,Bi2Se3,0.35,,3,0.35,293,2,1452,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.35'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
1409,1410,,Bi2Se3,0.35,,3,0.35,300.0 -2.00e-04,2,1453,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.35'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}, {'name': 'Temperature derivative of band gap', 'scalars': [{'value': '-2.00E-04'}], 'units': 'eV/K', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,-2.00E-04,eV/K,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,
1410,1411,,Bi2Se3,0.161,,3,0.161,300,2,1454,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.161'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
1411,1412,,Bi1Br3,2.66,,3,2.66,300,1,1455,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '2.66'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
1412,1413,,Bi1Sb1,0.023,,I,0.023,4.2,2,1456,,,,,"[{'name': 'Band gap', 'scalars': [{'value': '0.023'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}], 'method': {'name': 'Magnetoreflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",Magnetoreflection,,,,,,,,,,,,,
1413,1414,,Bi0.85Sb0.15,0.008,,,0.008,80,2,1457,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.008'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",,,,,,,,,,,,,,
1414,1415,,Bi0.97Sb0.03,0.022,,,0.022,80,2,1458,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.022'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",,,,,,,,,,,,,,
1415,1416,,Bi0.9Sb0.1,0.024,,,0.024,300,2,1459,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.024'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,,,,,,,,,,,,,
1416,1417,,Bi0.85Sb0.15,0.007,,,0.007,300,2,1460,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.007'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1417,1418,,Bi0.92Sb0.08,0.007,,,0.007,300,2,1461,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.007'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1418,1419,,Bi0.7Sb0.3,0.008,,,0.008,300.0·,2,1462,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.008'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1419,1420,,Bi0.85Sb0.15,0.01,,,0.01,300,2,1463,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.01'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
1420,1421,,Bi0.91Sb0.09,0.01,,,0.01,300,2,1464,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '0.01'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,,,,,,,,,,,,,
