318 V,2,0,,5,2.32,300.0 -7.30e-04,,2 2,3,,DFD,,,92 POLARIZED E.LC.
319,V I,0,,2,.12,339.0,,2,,,,,,96
320 V,2,0,,5,1.95,273.0,,2 4,4,,U,P,,710
321,Cr 2,0,,3,1.68,300.0,,1 4,3,,V,,,152 ACTIVATION ENERGY.
322,Cr 1 0,,,2,.23,300.0,,1 2,4,,U,,,186
323,Cr 2,0,,3,1.59,300.0,,2 4,3,,V,,,152 ACTIVATION ENERGY.
324 Cr,2,0,,3,1.,300.0,,2,,,,,,59
325,Cr 2,0,,3,1.62,300.0,,2 1,4,,V,P,,659
326,"C, 1",0,,2,,300.0,,2 '4,0,,V,,,143
327,Cr 1 Si,,,2,.35,300.0,,1 4,3,,U,,,564
328 Cr,2 S,,,3,.9,300.0,,1 4,2,,V,,,542
329,Cr 3,Se,,4,.015,300.0,,1 4,0,,V,,,326 ACTIVATION ENERGY.
330 Cr,2,Se,,3,.025,300.0,,1 4,0,,V,,,326 ACTIVATION ENERGY.
331,Cr 3,Se,,4,.015,300.0,,2 4,0,,V,,,325 ACTIVATION ENERGY.
332,Cr 2,Se,,3,.15,300.0,,2 4,0,,V,,,325 ACTIVATION ENERGY.
333,Cr I,Br,,3,,.0,,2,,,,,,338 K(LO) = 4.17. K(H1) = 6.20.
334 Cr,1 Sb,,,1,.2,300.0,,1 4,4,,V,,,643 ACTIVATION ENERGY.
335,Cr,Te,,,.02,300.0,,1 4,4,,U,,,643 ACTIVATION ENERGY.
336,Mn 1 0,,,2,.26,300.0,,1 4,3,,U,,,140 B-PHASE.
337,Mn I,0,,I,3.7,300.0,,I 2,3,,V,,,"324 VALVE V ARIES: 3.6-3.8 EV, SEE"
"",,,,,,,,,,,,,,"ALSO PHYS. REV., 116, 281"
"",,,,,,,,,,,,,,(1959).
338 Mn,1 0,,,I,1.84,300.0,,2 4,4,,U,,,475
33Y,Mn 1 0,,,1,2.6,300.0,,2 4,3,,lJ,,,17
340,Mn 10,,,2,.28,300.0,,2 4,3,,V,,,186
341,Mn 1 0,,,2,.7,300~0,,2 4,3,,U,,,140
342,Mn 1 0,,,1,2.2,300.0,,2 4,4,,V,,,475 HOPPING TYPE
"",,,,,,,,,,,,,,SEMICONDVCTOR OR BAND
"",,,,,,,,,,,,,,CONDUCTION OF ELECTRONS.
343,Mn 1 F,,,2,9.9,77.0,,1 2,3,,I I,,,429
344 Mn,1 F,,,2,10.2,300.0,,1 2,3,,E,,,429
345,Mn 1 F,,,2,10.24,77.0,,2 2,3,,E,,,429
346 Mn,I,Al,,3,.58,300.0,,1 4,4,,U,,,370
347,Mn,Si,,,.6,600.0,,1 4,0,,U,,,373 MN 1.0-S1 1.67-1.73.
348 Mn,,Si,,,.8,.0,,2 4,3,,V,,,470 MN ll-SI 19.
349 Mn,1 S,,,1,6.2,300.0,,I I,3,,V,,,304 A-PHASE.
350 Mn,1 S,,,I,6.,300.0,,2 1,3,,E,,,304 A-PHASE.
351,Mn I,Se,,2,.2,300.0,,I 4,4,,V,,,308 ACTIVATION ENERGY.
352,Mn 1 Se,,,I,1.8,300.0,,I 1,3,,U,,BRN-BLACK,675
353,Mn 1 Te,,,I,1.25,300.0,,1 I,3,,U,,,695
354 Mn,1 Te,,,2,.48,300.0,,1 4,4,,V,,,187 ACTIVATION ENERGY.
355,Mn 1 Te,,,1,1.35,80.0,,2 1,3,,V,,,695
356,"Mn 1 T"",",,,?,.2,300.0,,2 4,4,,IT,,,~flH AC-:TTV A TTON F.NF.RGV.
357,Mn 1 I,,,2,4.04,77.0,,1 2,2,,V,,,627 ABSORPTION EDGE.
358 Mn,I,I,,2,4.4,77.0,,2 2,2,,E,,,627
359 Fe,2,0,,3,2.34,300.0,,I 4,4,,V,,,455
360 Fe,2,0,,3,1.06,600.0,,2 4,4,,V,,,79 ACTIVATION ENERGY.
361,Fe 2,0,,3,2.2,300.0,,2 1,4,,V,,,659
362,Fe I,Si,,2,.9,.0,,I 4,4,,U,,,81 VALVE SOMEWHAT SMALLER
"",,,,,,,,,,,,,,THAN 0.9 EV.
363,Fe I,Si,,I,.1,300.0,,1 4,3,,DAD,,,342 APPROXIMATE VALVE.
364 Fe,1 Si,,,2,.85,.0,,2 4,6,,V,,,82
365 Fe,1,Si,,2,.00,.0,,2 4,0,,V,,,666
366 Fe,1 P,,,2,.4,300.0,,1 4,4,,V,,,308 ACTIVATION ENERGY.
367,Fe 1 S,,,2,1.2,300.0,,1 4,3,,U,,YELLOW,424
368 Fe,1 As,,,2,.2,300.0,,1 4,4,,V,,,308 ACTIVATION ENERGY.
369 Fe,I,As,,2,.2,300.0,,2 4,4,,V,,,337
370 Fe,1,Sc,,2,.6,300.0,,1 4,4,,V,,,"107 ACTIVATION ENERGY, VALVE"
"",,,,,,,,,,,,,,VARIES: 0.6-0.95 EV.
371,Fe I,Se,,2,.5,300.0,,2 4,4,,V,,,308 ACTIVATION ENERGY.
372 Fe,I,Sb,,2,.17,300.0,,1 4,4,,V,,,187 ACTIVATION ENERGY.
373 Fe,I,Sb,,2,.05,300.0,,2 4,4,,V,,,308
374 Fe,2 Te,,,3,.6,300.0,,1 2,4,,V,,,422
375 Fe,1 Te,,,2,.46,300.0,,1 4,4,,U,,,187 ACTIVATION ENERGY.
376 Fe,2 Te,,,3,0.34,0.0,,2 4,4,,V,,,32
377 Fe,1 I,,,2,5.15,300.0,,1 2,2,,D 1,,,627
378 Co,1 0,,,1,0.47,250.0,,1 4,3,,V,,,4(J ACTIVATION ENERGY.
379 Cu,1,0,,1,.73,373.0,,2 4,3,,V,,,:na ACTIVATION ENERGY.
380 Co,1 0,,,1,.125,500.0,,2 4,0,,V,P,,115
381,Co 1 F,,,2,,300.0,,2 2,2,,DD,P,,"687 K(LO) == 4.80, K(Hl) ::: 2.25."
382,Co 1 F,,,2,,300.0,,2 2,2,,DD,P,,"687 K(LO) == 6.10, K(HI) == 2.25."
383,Co 1 Si,,,I,.045,300.0,,1 8,3,,U,,,341
"",1 2,3,,4,5,6 7,,8,9,10,II,12,13,14 15
Entry,Compound,,,,E(g),Temp. dE/dT,,R,By,On,Tr,Effect,Color,Ref Comment
No.,,,,,(eV),(Kelvin) (eV/Deg),,,,,,,,
384,Co 1 As,,,2,.15,300.0,,1,4,4,U,,,308 ACTIVATION ENERGY.
385,Co 1 As,,,3,.25,300.0,,1,4,4,U,,,308 ACTIVATION ENERGY.
386,Co,Te,,,.2,300.0,,1,2,0,U,,,"421 NONSTOICHIOMETRIC, CO 1.0 ."
"",,,,,,,,,,,,,,TE 1.88.
"387, Ni",1 0,,,1,3.7,300.0,,1,5,3,U,,DKGREEN,435
388,Ni 1 0,,,1,0.92,300.0,,2,4,3,U,,,102 ACTIVATION ENERGY.
389,Ni 1 0,,,1,4.,300.0 -2.90e-04,,2,1,2,U,P,,536
390,Ni 1 0,,,1,3.7,700.0,,2,4,3,U,,,382
391,Ni 1 P,,,2,.5,300.0,,1,4,6,U,,,311
392,Ni 1 S,,,1,0.12,264.0,,1,4,3,U,,,583 ACTIVATION ENERGY.
393,Ni 1 S,,,2,.5,300.0,,1,4,4,U,,,308 ACTIVATION ENERGY.
394,Ni 1 S,,,1,0.01,77.0,,2,4,3,U,,,583 ACTIVATION ENERGY.
395,Ni 1 As,,,2,.05,.0,,1,4,4,U,,,308
396,Ni,Te,,,0.23,300.0,,1,4,0,U,,,547 ACTIVATION ENERGY.
397,Cu 1 N,,,3,4.17,300.0,,1,2,2,U,,,175
398 Cu,1 N,,,3,4.96,300.0,,2,2·,2,DD,,YELLOW,174
399,Cu 20,,,1,2.023,77.0,,1,5,4,I I,,,98
400,Cu 20,,,1,2.17,.0,,2,1,2,E,,,99 TRANSITION G25 -> G1.
401,Cu 20,,,1,2.58,.0,,2,1,2,D I,,,99 TRANSITION G25 -> G12.
402,Cu 2 0,,,1,2.59,293.0,,2,5,0,D I,,,563
403,eu 20,,,1,2.02,300.0,,2,1,4,U,,,610
404,Cu 2 0,,,1,2.02,300.0,,2,1.,4,U,,,611
405,Cu 2 0,,,1,2.67,300.0,,2,1,4,D I,,,610 TRANSITION G25 - > G 12.
406,Cu 1 P,,,2,1.4,300.0,,1,2,3,I I,,,255
407,Cu 1 P,,,2,LSI,300.0,,2,2,3,D I,,,255
408,Cu 2 S,,,1,1.21,300.0,,1,1,2,I I,E,,425
409,Cu 2 S,,,1,1.93,293.0,,2,1,3,U,,,658
410,Cu 2 S,,,1,1.7,300.0,,2,2,2,D I,,,515
411,Cu 2 S,,,1,1.8,300.0,,2,4,4,U,,,581
412,Cu 2 S,,,1,1.84,300.0,,2,3,3,U,,,580
413,Cu 2 S,,,1,1.93,300.0,,2,1,3,D I,,,570
414,Cu 2 S,,,1,1.26,80.0,,2,1,2,I I,E,,425
415,Cu 2 S,,,1,1.05,300.0,,2,2,2,I I,,,515
416,Cu 1 Cl,,,1,3.306,80.0,,1,2,2,E,EP,,134
417,Cu 2 Se,,,1,1.23,293.0,,1,1,3,U,,,658
418,Cu 2 Se,,,1,1.23,300.0,,2,1,3,D I,,,570
419,Cll 2 Se,,,1,1.29,300.0,,2,3,3,U,,,580
420,Cn 2 Se,,,1,1.3,300.0,,2,2,3,U,EP,,2
421,Cu 1 Br,,,1,2.987,80.0,,1,2,2,E,P,,134
422,Cll 1 Br,,,1,3.02,8.0,,2,3,2,U,,,256
423,Cll 2 Te,,,1,1.08,300.0 -3.00e-04,,1,2,2,U,,,162
424,Cll 2 Te,,,1,1.15,.. 80.0 -3.00e-04,,2,2,2,U,,,162
425,Cll 2 Te,,,1,1.02,300.0,,2,3,3,U,,,580
426,Cll 2 Te,,,1,1.04,300.0,,2,1,3,U,,,658
427,Cll 2 Te,,,1,1.04,300.0,,2,1,3,D D,,,570
428,Cu 1 I,,,1,3.07,300.0 -l.OOe-04,,1,9,3,DD,P,,352
429,Cu I,I,,I,3.047,80.0,,2,2,2,E,,,134
430,Zn 1 0,,,1,3.35,300.0,,1,1,3,U,EPT,,296
431,Zn 1 0,,,1,3.435,1.2,,2,1,3,DD,,,494
4~2 Zn,1 0,,,1,::L26,77.0,,2,R,3,1<:,L,,4JiR
433,Zn 1 0,,,1,3.31,300.0,,2,5,3,U,,,297
434,Zn 1 0,,,1,3.418,77.0,,2,1,3,E,,,197
435,Zn 1 P,,,2,1.65,·293.0 -2.30e-04,,1,,,I I,,,"574 TETRAGONAL,. POLARIZED E .1 C."
436,Zn 1 P,,,2,1.85,293.0 -2.30e-04,,1,,,I I,,,"574 TETRAGONAL, POLARIZED Ell C."
4:l7,Zn 1 P,,,?,21R,"?(l~O -:;.);0"",-04",,1,,,n T,,,574 TETRAGONAL.
438,Zn 3 P,,,2,1.15,300.0,,1,1,3,U,,,573
439,Zn 1 P,,,2,2.03,300.0 -4.00e-04,,1,2,3,U,EP,RED,365 TETRAGONAL.
440,Zn 1 S,,,1,3.87,300.0,,1,1,3,U,E,,"130 HEXAGONAL, POLARIZED E..L C."
441,Zn 1 S,,,1,3.68,300.0 -4.86e-04,,2,2,3,U,,,463 POLARIZED Ell C.
442,Zn 1 S,,,1,3.69,300.0,,2,2,3,U,,WHITE,"78: HEXACONAL, POLARIZED E 1. C."
443,Zn 1 S,,,1,3.704,300.0 -4.86e-04,,2,2,3,U,,,463 POLARIZED E 1. C.
444,Zn 1 S,,,1,3.73,300.0,,2,2,3,U,,WHITE,"78 HEXAGONAL, POLARIZED E /' C."
445,Zn 1 S,,,1,3.88,300.0,,2,1,3,U,E,,"130 HEXAGONAL, POLARIZED E 'C."
446,Zn I,S,,1,3.82,.0,,2,8,3,E,L,,317
447,Zn 1 As,,,2,.9,297.0,,1,2,3,U,,,629 POLARIZED Ell C.
448 Zn,3 As,,,2,.93,297.0,,1,2,3,U,,,629
449,Zn 3 As,,,2,.86,.0 -5.40e-04,,2,4,4,U,,,508
450,Zn 1 As,,,2,.93,297.0,,2,2,3,U,,,629 POLARIZED E .1 C.
451,Zn 3 As,,,2,.51,300.0,,2,2,2,U,,,280
452,Zn 1 As,,,2,1.3,.0 -7.500-04,,2,4,3,U,,,639
453,Zn 1 Se,,,1,2.67,297.0,,1,1,3,DD,,YELLOW,42
454 Zn,1 Se,,,1,2.874,15.0,,2,2,3,DAD,,,401 HEXAGONAL.
455,Zn 1 Se,,,1,2.81,23.0,,2,1,3,E,,YELLOW,42
456,Zn 1 Se,,,1,2.68,150.0,,2,8,3,U,L,,93
457,Zn 1 Sa,,,1,2.795,300.0,,2,3,3,U,,,"493 HEXACONAL, POLARIZED E 1. C."
458,Zn 1 Se,,,1,2.76,290.0,,2,8,3,DD,,,197
459,Zn 1 Sb,,,1,.5,300.0,,1,2,3,I I,,,372
460,Zn 1 Sb,,,1,.99,300.0,,1,2,3,D I,,,372
461,Zn 3 Sb,,,2,.22,300.0,,1,2,3,U,,,572
462,Zn 4,Sb,,3,1.2,300.0,,1,2,3,U,,,572
"",I 2,3,,4,5,6 7,,8,9,10,,II,12,13,14 15
Entry,Compound,,,,E(g),Temp. dE/dT,,R,By,On,,Tr,Effect,Color,Ref Comment
No.,,,,,(eV),(Kelvin) (eV/Deg),,,,,,,,,
463,Zn 1,Sh,,1,~OR,4.2,,'2,'2,.3,I,I,,,4'28 POLA RIZED E II C.
464,Zn I,Sb,,I,.603,4.2,,2,2,3,I,I,,,428 POLARIZED E I C.
465,Zn 1 Sb,,,1,.606,4.2,,2,2,3,I,I,,,428 POLARIZED E liB.
466,Zn I,Sb,,I,.61,4.2,,2,2,3,I,I,,,428 POLARIZED EllA.
467,Zn 1 Sb,,,1,.61,4.2,,2,2,3,I,I,,,372
468,Zn .},Sh,,1,L05,4.2,,2,2,3,D,I,,,372 POLARIZED E nC .
469,Zn I,Sb,,I,1.09,4.2,,2,2,3,D,I,,,372 POLARIZED E II B.
470,Zn I,Sb,,I,1.11,4.2,,2,2,3,D,I,,,372 POLARIZED E /lA.
471,Zn 1 Sb,,,1,.59,77.0,,2,2,3,I,I,,,428 POLARIZED E llB.
472,Zn 1 Sb,,,I,.59,77.0,,2,2,3,I,I,,,372
473,Zn 1 Sb,,,I,.53,297.0,,2,2,3,-u,,,,629
474,Zn 1 Sb,,,1,.48,300.0,,2,2,3,I,I,,,697
475,Zn 1 Sb,,,1,.514,300.0,,2,2,3,I,I,,,428 POLARIZED EllA.
476,Zn 3,Sb,,2,.2,300.0,,2,4,4,U,,,,636
477,Zn 1 Sb,,,1,.5,300.0,,2,2,3,U,,,,572
478,Zn 1 Te,,,1,2.25,300.0,,1,2,3,DAD,,,RED,462 TRANSITION GIS -> Gl.
479,Zn 1 Te,,,I,2.385,4.2,,2,2,3,DAD,,,RED,462 TRANSITION G15 -> Gl.
480,Zn 1 Te,,,1,2.29,77.0,,2,1,3,I,I,,,548
481,Zn 1 Te,,,1,2.35,77.0,,2,1,3,D,I,,,548
482,Zn 1 Te,,,1,2.372,77.0,,2,8,2,U,,,,526
483,Zn I,Tc,,I,2.37,00.0,,2,2,3,DAD,,,RED,462 TRANSITION GIS > Gl.
484,Zn 1 Te,,,1,2.34,290.0,,2,8,3,U,,,,197 CUBIC.
485,Zn 1 Te,,,I,2.281,295.0,,2,8,2,U,,,,526
486,Zn I,Te,,I,2.176,300.0,,2,I,3,I,I,,,548
487,Zn 1 Te,,,1,2.23,300.0,,2,2,3,DD,,,,319
400,Zn 1 Te,,,I,2.25;:;,300.0,,2,1,3,D I,,,,;:;48
489,Zn I,Te,,1,2.35,300.0,,2,I,3,D,D,EPT,,128 TRANSITION GIS -> Gl.
490,Zn 1 Te,,,1,2.29,110.0,,2,8,3,U,,L,,655
491,Zn 1 I,,,2,4.53,77.0,,1,2,2,E,,,,615
492,Ga I,N,,1,3.24,300.0,,1,2,1,D,D,,,489
493,Ga I,N,,1,3.25,300.0 -3.90e-04,,2,2,4,U,,,,348
494,Ga 1 N,,,1,3.39,300.0,,2,2,3,DD,,,COLORLESS,427
495,Ga 1 N,,,1,3.8,300.0,,2,1,I,DD,,,,376
496,Ga 2,0,,3,4.54,300.0,,I,2,3,DD,,,,623 B-PHASE.
497,Ga 20,,,3,4.4,300.0 -8.30e-04,,2,2,3,U,,EP,WHITE,349
498,Ga I,P,,1,2.22,300.0 -5.20e-04,,I,2,3,I,I,,,692 TRANSITION GIS -> Xl.
499,Ga 1 P,,,I,2.78,300.0 -4.60e-04,,I,2,3,D,I,,,692 TRANSITION GIS -> Gl.
500 Ga,1 P,,,1,2.235,.0 -2.34e-06,,2,2,3,I,I,,,233
501,Ga 1 P,,,1,2.895,.0 -2.34e-06,,2,3,3,D,I,,,465
502,Ga 1 P,,,1,2.78,290.0,,2,2,3,D,I,,,1
503,Ga 1,P,,1,2.223,300.0 -2.34e-06,,2,2,3,I,I,,,233
504,Ga 1 P,,,1,2.75,300.0,,2,5,3,D,I,,,618
505,Ga I,S,,1,2.5,295.0,,I,2,3,I,I,EPT,,104
506,Ga 2,S,,3,3.59,.0 -9.50e-04,,1,8,3,U,,,,590
507,Ga 1 S,,,1,2.591,77.0,,2,2,3,I,I,,,39
"!::iUB",Ga 1,5,,1,2.62,Tl.O,,2,2,3,I,I,EPT,,104
509,Ga 1 S,,,I,2.7,77.0,,2,8,3,U,,E,,14
510 Ga,1,S,,1,2.58,150.0,,2,2,3,I,I,EPT,,104
511,Ga . I,S,,1,2.38,300.0 -7.20e-04,,2,3,3,U,,,,13
512,Ga 1 S,,,1,2.5,300.0,,2,1,3,U,,,,15
513 Ga,1 S,,,1,2.52,300.0,,2,2,3,U,,,,105
514,Ga I,S,,I,2.53,300.0 -7.20e-04,,2,2,3,U,,,,13
515,Ga I,S,,I,2.84,.0,,2,8,3,U,,P,PALEYELLOW,590
516,Ga 2,S,,3,2.85,300.0,,2,2,3,U,,,YELL-WHITE,349
517,Ga I,As,,1,1.42,300.0,,I,I,3,DD,,,,561
518,Ga 1 As,,,I,l.46,4.2,,2,8,3,U,,L,,315
519,Ga 1 As,,,I,1.521,21.0,,2,2,3,DD,,,,599
520 Ga,1 As,,,1,l.518,55.0,,2,2,3,D,D,,,599
521,Ga 1 As,,,I,l.507,77.0,,2,8,3,U,,P,,49
522,Ga 1,As,,1,l.51,77.0,,2,2,3,DD,,,,600
523,Ga I,As,,1,l.Sll,90.0,,2,2,3,V,V,,,599
524,Ga 1 As,,,1,l.479,185.0,,2,2,3,D·D,,,,599
525 Ga,1 As,,,1,l.43,295.0,,2,2,3,DD,,,,600
526 Ga,1,As,,1,1.37,300.0,,2,2,3,DD,,,,589
527,Ga I,As,,I,1.62,300.0,,2,2,3,I,D,,,589
528 Ga,I,As,,I,1.35,473.0,,2,2,3,DD,,,,488 TRANSITION GIS -> Gl.
529,Ga 1 As,,,1,1.253,673.0,,2,2,3,DD,,,,488 TRANSITION GIS -> Gl.
530 Ga,1 As,,,I,1.147,873.0,,2,2,3,DD,,,,488 TRANSITION GIS -> G1.
531,Ga 1 As,,,1,1.09,973.0,,2,2,3,D,D,,,488 TRANSITION GIS -> G1.
532,Ga 1 As,,,1,1.33,500.0,,2,8,3,D,D,,,195 TRANSITION GIS -> Gl.
533,Ga I,As,,I,1.435,294.0,,2,2,3,DD,,,,599
534 Ga,1 Se,,,I,1.98,300.0,,1,2,3,I,I,EPT,,418
535,Ga 1 Se,,,I,2.12,300.0,,I,2,3,D,I,,,418
536 Ga,2,Se,,3,2.05,300.0,,1,2,3,U,,,RED,459
537,Ga I,Se,,I,2.2,.0 -5.70e-04,,2,8,3,U,,,,590
538,Ga I,Se,,1,2.132,4.2,,2,6,3,U,,,,27
539,Ga 1 Se,,,1,2.065,77.0,,2,2,3,I,I,,,39 G- AND E- PHASES.
540 Ga,1 Se,,,1,2.07,77.0,,2,8,3,E,,L,,61
541,Ga 1,Se,,I,2.109,77.0,,2,5,3,U,,,,346
542,Ga 1,Se,,1,2.117,77.0,,2,2,3,I,I,,,39 B-PHASE.
"",1 2,3,4,5,6 7,8,,9,10,II,12,13,14 IS
Entry,Compound,,,E(g),Temp. dE/dT,R,,By,On,Tr,Effect,Color,Ref Comment
No.,,,,(eV),(Kelvin) (eV/Deg),,,,,,,,
543,Ga 1 Se,,1,2.12,77.0,2,,2,3,D I,,,39 G- AND E- PHASES.
544,Ga 1 Se,,I,2.169,77.0,2,,2,3,D I,,,39 B-PHASE
545,Ga 1 Se,,1,1.93,300.0 -8.00e-04,2,,3,3,V,,,13
546 Ga,1 Se,,1,1.97,300.0 -4.00e-04,2,,2,3,V,,,117
547,Ga I,Se,1,1.97,300.0 -8.00e-:-04,2,,2,3,V,,,13
548 Ga,1 Se,,1,2.01,300.0,2,,4,3,V,,,44
549,Ga 1 Se,,1,2.1,300.0,2,,1,3,D I,,,15
550 Ga,2,Se,3,2.3,.0 -4.75e-04,2,,8,3,V,,,590
551,Ga 2 Se,,3,1.86,300.0,2,,4,3,V,,RED,201
552,Ga 1 Sb,,1,.725,300.0 -4.10e-04,1,,2,3,V,,,624
553,Ga I,Sb,1,.773,.0,2,,3,3,V,,,412
554,Ga 1 Sb,,1,.812,1.7,2,,2,3,DD,,LT GREY,335
555,Ga 1 Sb,,1,.813,4.2 -4.10e-04,2,,2,3,DD,,,624
556 Ga,1 Sb,,1,.725,300.0,2,,2,3,DD,,,64
557,Ga 1 Sb,,1,.81,4.0,2,,8,3,V,L,,69
"::;::;0",Ga 1 Tc,,1,1.42,293.0 -4.00c-04,1,,2,1,U,,,257
559,Ga 2 Te,,3,1.13,300.0 -6.00e-04,1,,1,3,I I,,,458
560,Ga 2 Te,,3,1.32,300.0 -6.00e-04,1,,1,3,DAI,,,458
561,Ga 2 Te,,3,1.08,.0 -4.80e-04,2,,2,3,I I,,,282
562,Ga 1 Te,,1,1.52,.0 -4.80e-04,2,,2,1,V,,,258
563,Ga 1,Te,1,1.74,.0,2,,4,3,U,,,3
564,Ga I,Te,1,1.74,77.0,2,,1,3,V,,,66
565,Ga 2 Te,,3,1.33,300.0 -4.00e-04,2,,2,3,V,,,259
566,Ga 2 Te,,3,1.5,300.0,2,,4,3,V,,BLACK,459
567,Ga 1 Te,,1,1.5,300.0,2,,3,3,V,,,13
568,Ga 1 Te,,1,1.63,300.0,2,,1,3,V,,,66
569,Ga I,Te,1,1.67,300.0,2,,2,3,V,,,13
570,Ga 1 Te,,1,1.7,300.0 .-4.35~-04 2,,,,,,,,612
571,Ga 2 Te,,3,1.45,933.0,2,,4,3,V,,,538
572,Ga 1 Bi,,1,.1,300.0,1,,9,0,V,,,602
573,Ge 1 0,,2,5.56,300.0,1,,1,3,V,,,486
574 Ge,1 0,,2,5.54,300.0,2,,2,3,V,PT,GREY,492
575,Ge 1 0,,2,5.63,300.0,2,,1,5,V,,,486
576,Ge 1 0,,2,6.,300.0,2,,2,5,V,,,127
577,Ge,Si,,1.042,300.0,2,,5,4,DAD,,,366 6.45 % SILICON.
578,Ge,Si,,1.042,300.0,2,,5,2,V,P,,410 7 % SILICON.
579,Ge,Si,,1.126,300.0,2,,5,4,DAD,,,366 10.9 % SILICON.
580,Ge,Si,,1.319,300.0,2,,5,4,DAD,,,366 16.2 % SILICON.
581,Ge,Si,,1.503,300.0,2,,5,4,DAD,,,366 22.6 % SILICON.
582,Ge,Si,,1.914,300.0,2,,5,4,DAD,,,366 34.7 % SILICON.
583,Ge,Si,,2.238,300.0,2,,5,4,DAD,,,366 45.8 % SILICON.
584,Ge 1 S,,1,1.58,300.0,1,,4,0,I I,,,159
585,Ge 1 S,,2,3.54,300.0,1,,2,3,V,,AMBER,402
586,Ge 1 S,,1,1.69,77.0 :-4.30e-04,2,,2,3,V,,,402 POLARIZED E /lA.
POLARIZED E r' 588 SS7,GEl Ge 1 S 1,S,1 1,1.77 1.59,77.0 -1.30e-01 300.0 -4.30e-04,2 2,,2 2,3 3,U U,,,402 POLARIZED E IA . 1'()2
589,Ge 1 S,,1,1.68,300.0 -4.30e-04,2,,2,3,U,,,402 POLARIZED E C.
590,Ge 1 S,,2,3.71,77.0,2,,2,3,U,,AMBER,402
591,Ge,,,.665,291.0,1,,2,3,I I,,,414
"::;92",Ge,,,.00::;,293.0 -3.90c-·04,1,,6,3,D I,,,716
593,Ge,,,.744,1.5,2,,6,3,I I,,,716
594,Ge,,,.771,1.7,2,,6,3,I I,,,279
595,Ge,,,.735,77.0,2,,2,3,I I,,,414
596,Ge,,,.889,77.0 -3.90e-04,2,,6,3,D I,,,716
597,Ge,,,.880,89.0,2,,2,3,D I,,,229
598,Ge,,,.799,305.0,2,,2,3,D I,,,229
599,Ge,,,.882,77.0 -3.50e-04,2,,2,I,D I,EP,,483
600,Ge,,,.88,300.0,2,,2,5,I I,,,614
601,Ge I,As,I,.65,300.0,I,,2,3,I I,,,519 VALUE VARIES: 0.6-0.7 EV.
602,Ge 1,As,2,1.,300.0,1,,2,3,I I,,,519 VALUE VARIES: U.9-1.1 EV.
603,Ge 1 As,,2,1.45,300.0,1,,2,3,D I,,,519 VALVE VARIES: 1.1-1.8 EV.
604,Ge 1 As,,1,1.45,300.0,1,,2,3,D I,,,519 VALVE VARIES: 1.0-1.9 EV.
605,Ge 1 Se,,1,1.1,300.0,1,,2,3,IFI,,,411
606,Ge 1 Se,,1,1.53,300.0,1,,2,3,D I,,,344
607,Ge 1 Se,,2,2.38,300.0,I,,2,3,1 1,,,232 EXTRAPOLATED VALVE.
608,Ge 1 Se,,2,2.485,300.0,1,,2,3,D I,,YELL-ORAN,232
609,Ge 1 Se,,2,2.69,.0,2,,2,3,D I,,YELL-ORAN,232
610,Ge 1 Se,,1,1.,100.0,2,,4,3,V,,,35
611,Ge 1 Se,,1,1.17,300.0,2,,3,3,V,,,344
612,Ge 1 Sn,,1,.8,300.0,1,,0,0,V,,,126
613,Ge 1 Te,,1,.84,300.0,1,,2,2,DD,,,51 VALVE VARIES: 0.73-0.95 EV.
614,Ge 1 Te,,2,.3,293.0,1,,,,,,,720
615,Ge 1 Te,,1,.8,300.0,2,,2,2,V,,,52
616,Ge 1 Te,,1,.33,.0,2,,4,0,V,,,209
617,Ge 1 Te,,1,.77,77.0,2,,2,5,V,,,303
618,Ge 1 Te,,1,.7,295.0,2,,2,5,U,,,303
619,Ge 1 I,,2,1.5,300.0,1,,9,0,V,,,602
620,As 2 0,,3,4.,300.0,1,,2,2,V,,,184
621,As 20,,3,5.,300.0,2,,1,4-,U,,,609 ESTIMATED V ALUF. .
"",1 2,3,,4,5,6 7,,8,9,10,,11,12,13,14 IS
Entry,Compound,,,,E(g),Temp. dE/dT,,R,By,On,,Tr,Effect,Color,Ref Comment
No.,,,,,(eV),(Kelvin) (eV/Deg),,,,,,,,,
622,As 2,S,,3,2.43,293.0,,1,2,3,I,I,,,"252 POLARIZED E -L C, PHONON"
"",,,,,,,,,,,,,,,ASSISTED TRANSITION.
623 As,4S,,,4,2.4,300.0,,1,3,3,U,,,,596
624,As 2,S,,5,2.48,298.0 -6.70e-04,,1,2,5,U,,,,374
625,As 2,S,,3,2.2,.0 -6.80e-04,,2,2,5,U,,,,368
626,As 2,S,,3,3.,.0 -1.40e-03,,2,2,3,U,,,,368
0'[1,As 2,S,,3,2.35,77.U -0.7Ue-U4,,2,2,5,D I,,,,236
628,As 2,S,,3,2.57,90.0,,2,2,3,I,I,,,"252 POLARIZED E -L C, PHONON"
"",,,,,,,,,,,,,,,ASSISTED TRANSITION.
629,As 2,S,,3,2.64,90.0,,2,2,3,I,I,,,"252 POLARIZED EIIC,PHONON,"
"",,,,,,,,,,,,,,,ASSISTED TRANSITION.
630 As,2,S,,3,2.45,293.0,,2,2,3,I,I,,,"252 POLARIZED Ell C, PHONON"
"",,,,,,,,,,,,,,,ASSISTED TRANSITION.
631,As 2,S,,3,2.,300.0 -6.80e-04,,2,2,5,U,,,,368
